DEST,MSNAME,N_RETURNEES
Albania,Germany,8830
Tunisia,Germany,1271
Kosovo,Germany,6560
Nigeria,Germany,1349
Serbia,Germany,7495
Georgia,Germany,4692
North Macedonia,Germany,3761
Pakistan,Germany,1628
Moldova,Germany,2924
Afghanistan,Germany,1104
Armenia,Germany,1120
Russia,Germany,871
Egypt,Germany,122
Bosnia and Herzegovina,Germany,752
Albania,Italy,78
Tunisia,Italy,10824
Nigeria,Italy,2076
Serbia,Italy,3
Georgia,Italy,159
Pakistan,Italy,25
Colombia,Italy,5
Armenia,Italy,7
Egypt,Italy,1021
Albania,France,7586
Kosovo,France,155
Nigeria,France,119
Serbia,France,23
Georgia,France,823
North Macedonia,France,1
Pakistan,France,54
Moldova,France,5
Colombia,France,12
Armenia,France,21
Egypt,France,1
Albania,Spain,627
Nigeria,Spain,530
Serbia,Spain,11
Georgia,Spain,743
North Macedonia,Spain,2
Pakistan,Spain,193
Colombia,Spain,2372
Armenia,Spain,11
Albania,Austria,65
Kosovo,Austria,1215
Nigeria,Austria,1066
Serbia,Austria,65
Georgia,Austria,531
North Macedonia,Austria,68
Pakistan,Austria,225
Afghanistan,Austria,429
Armenia,Austria,207
Russia,Austria,218
Egypt,Austria,3
Bosnia and Herzegovina,Austria,10
Albania,Sweden,468
Kosovo,Sweden,310
Nigeria,Sweden,187
Serbia,Sweden,361
Georgia,Sweden,190
North Macedonia,Sweden,25
Pakistan,Sweden,57
Moldova,Sweden,3
Colombia,Sweden,5
Afghanistan,Sweden,444
Armenia,Sweden,78
Russia,Sweden,6
Bosnia and Herzegovina,Sweden,20
Albania,Belgium,765
Kosovo,Belgium,33
Nigeria,Belgium,85
Serbia,Belgium,42
Georgia,Belgium,31
North Macedonia,Belgium,9
Pakistan,Belgium,31
Moldova,Belgium,1
Afghanistan,Belgium,5
Armenia,Belgium,22
Russia,Belgium,5
Bosnia and Herzegovina,Belgium,6
Nigeria,Greece,184
Georgia,Greece,297
Pakistan,Greece,724
Afghanistan,Greece,11
Armenia,Greece,3
Egypt,Greece,1
Albania,Poland,4
Kosovo,Poland,2
Nigeria,Poland,52
Georgia,Poland,186
Pakistan,Poland,34
Colombia,Poland,4
Armenia,Poland,10
Russia,Poland,44
Egypt,Poland,1
Albania,Hungary,12
Kosovo,Hungary,802
Nigeria,Hungary,97
Georgia,Hungary,22
Pakistan,Hungary,79
Colombia,Hungary,1
Afghanistan,Hungary,43
Armenia,Hungary,5
Russia,Hungary,1
Egypt,Hungary,3
Bosnia and Herzegovina,Hungary,1
Albania,Finland,78
Kosovo,Finland,154
Nigeria,Finland,99
Serbia,Finland,16
Georgia,Finland,21
North Macedonia,Finland,3
Pakistan,Finland,14
Colombia,Finland,5
Afghanistan,Finland,62
Armenia,Finland,4
Kosovo,Norway,79
Nigeria,Norway,490
Serbia,Norway,7
Georgia,Norway,15
Pakistan,Norway,22
Russia,Norway,1
Egypt,Norway,2
Albania,United Kingdom,155
Kosovo,United Kingdom,7
Nigeria,United Kingdom,456
Georgia,United Kingdom,2
Pakistan,United Kingdom,43
Albania,Iceland,330
Kosovo,Iceland,12
Nigeria,Iceland,4
Serbia,Iceland,4
Georgia,Iceland,85
North Macedonia,Iceland,263
Armenia,Iceland,2
Albania,Ireland,34
Nigeria,Ireland,523
Serbia,Ireland,5
Georgia,Ireland,57
Pakistan,Ireland,55
